query_id,alignment_title,e_value,score,identities,alignment_length
Query_71485,"gi|325431|gb|K01834.1|HPUCGD Duck hepatitis B virus, complete genome",0.0,6004.0,3002,3002
Query_71485,"gi|33088057|gb|AY250901.1| Duck hepatitis B virus isolate 31, complete genome",0.0,5924.0,2986,3002
Query_71485,"gi|33088061|gb|AY250902.1| Duck hepatitis B virus isolate 102, complete genome",0.0,5919.0,2985,3002
Query_71485,"gi|20136726|gb|AF493986.1| Duck hepatitis B virus isolate Indiana, complete genome",0.0,5909.0,2983,3002
Query_71485,"gi|2982230|gb|AF047045.1| Duck hepatitis B virus, complete genome",0.0,5904.0,2982,3002
Query_71485,"gi|31415503|gb|AY294028.1| Duck hepatitis B virus isolate ST10, complete genome",0.0,5904.0,2982,3002
Query_71485,"gi|33088065|gb|AY250903.1| Duck hepatitis B virus isolate 8, complete genome >gi|33088069|gb|AY250904.1| Duck hepatitis B virus isolate 27, complete genome",0.0,5904.0,2982,3002
Query_71485,"gi|311036247|gb|HQ214130.1| Duck hepatitis B virus strain DHBV-XY, complete genome",0.0,5889.0,2979,3002
Query_71485,"gi|748302902|gb|KM676220.1| Duck hepatitis B virus strain SCP01, complete genome",0.0,5884.0,2978,3002
Query_71485,"gi|31415505|gb|AY294029.1| Duck hepatitis B virus isolate D1, complete genome",0.0,5879.0,2977,3002
Query_71485,"gi|28629157|gb|AF505512.1| Duck hepatitis B virus, complete genome",0.0,5879.0,2977,3002
Query_71485,"gi|325425|gb|M60677.1|HPUCGE Duck hepatitis B virus, complete genome",0.0,5879.0,2977,3002
Query_71485,"gi|31506004|gb|AY294656.1| Duck hepatitis B virus, complete genome",0.0,5874.0,2976,3002
Query_71485,gi|397342|emb|X74623.1| Duck hepatitis B Virus DNA complete genome,0.0,5824.0,2966,3002
Query_71485,"gi|1442786807|gb|MF471769.1| Duck hepatitis B virus isolate SD-02, complete genome",0.0,5819.0,2965,3002
Query_71485,gi|59057|emb|X12798.1| Duck hepatitis virus B genome,0.0,5819.0,2965,3002
Query_71485,"gi|1935902416|gb|MW176097.1| Duck hepatitis B virus isolate 410, complete genome",0.0,5194.0,2840,3002
Query_71485,"gi|315360729|gb|HQ132730.1| Duck hepatitis B virus isolate DHBV-GD-056, complete genome",0.0,5189.0,2839,3002
Query_71485,"gi|1935902420|gb|MW176098.1| Duck hepatitis B virus isolate 414, complete genome",0.0,5184.0,2838,3002
Query_71485,"gi|81251208|gb|DQ195079.1| Duck hepatitis B virus isolate 3, complete genome",0.0,5159.0,2833,3002
Query_71485,"gi|2450763368|gb|OP762450.1| Duck hepatitis B virus strain Y190303HN, complete genome",0.0,5104.0,2816,2992
Query_71485,gi|59054|emb|X58567.1| Duck hepatitis B virus,0.0,5064.0,2814,3002
Query_71485,"gi|2450763304|gb|OP762434.1| Duck hepatitis B virus strain Y170101HB, complete genome",0.0,5038.0,2811,3005
Query_71485,"gi|2450763300|gb|OP762433.1| Duck hepatitis B virus strain E190103HB, complete genome",0.0,5008.0,2799,2995
Query_71485,"gi|169116565|gb|EU429326.1| Duck hepatitis B virus isolate CH6, complete genome",0.0,4900.0,2506,2545
Query_71485,"gi|169116565|gb|EU429326.1| Duck hepatitis B virus isolate CH6, complete genome",0.0,880.0,440,440
Query_71485,"gi|2450763284|gb|OP762429.1| Duck hepatitis B virus strain E170101AH, complete genome",0.0,4723.0,2748,3005
Query_71485,"gi|40786842|gb|AY494851.1| Duck hepatitis B virus, complete genome",0.0,4653.0,2734,3005
Query_71485,"gi|2450763360|gb|OP762448.1| Duck hepatitis B virus strain Y190202HN, complete genome",0.0,4632.0,2732,3008
Query_71485,"gi|40786836|gb|AY494850.1| Duck hepatitis B virus, complete genome",0.0,4627.0,2731,3006
Query_71485,"gi|2450763364|gb|OP762449.1| Duck hepatitis B virus strain Y190226AH, complete genome",0.0,4617.0,2723,2996
Query_71485,"gi|37549279|gb|AY392760.1| Duck hepatitis B virus isolate GD1, complete genome",0.0,4611.0,2724,2999
Query_71485,"gi|2482563955|gb|OQ183601.1| Duck hepatitis B virus strain Y220201, complete genome",0.0,4607.0,2721,2998
Query_71485,"gi|2482563943|gb|OQ183598.1| Duck hepatitis B virus strain Y200106, complete genome",0.0,4607.0,2721,2996
Query_71485,"gi|311036253|gb|HQ328779.1| Duck hepatitis B virus strain DHBV-JZ, complete genome",0.0,4598.0,2717,2995
Query_71485,"gi|302319036|gb|HM590411.1| Duck hepatitis B virus strain DHBV-WS, complete genome",0.0,4597.0,2719,2996
Query_71485,gi|59055|emb|X58568.1| Duck hepatitis B virus,0.0,4593.0,2722,3005
Query_71485,"gi|2482563947|gb|OQ183599.1| Duck hepatitis B virus strain Y200109, complete genome",0.0,4587.0,2717,2996
Query_71485,"gi|2482563983|gb|OQ183608.1| Duck hepatitis B virus strain Y210829, complete genome",0.0,4583.0,2714,2995
Query_71485,"gi|2450763328|gb|OP762440.1| Duck hepatitis B virus strain Y180724AH, complete genome",0.0,4583.0,2714,2995
Query_71485,gi|59056|emb|X58569.1| Duck hepatitis B virus,0.0,4583.0,2720,3005
